LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"e $150,000-350,000","REROC, LLC",2255 E LAS VEGAS ST,COLORADO SPRINGS,CO,80906,423930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,06/16/2020,Glacier Bank,CO-05
"e $150,000-350,000","ROCKY TOP RESOURCES, INC.",1755 East Las Vegas Street,COLORADO SPRINGS,CO,80903,423390,Corporation,Unanswered,Male Owned,Unanswered,,17,04/07/2020,Pikes Peak National Bank,CO-05
"e $150,000-350,000","TAYCO LAS VEGAS, LLC",117 S Nevada Ave,COLORADO SPRINGS,CO,80903,314999,Corporation,White,Male Owned,Non-Veteran,,20,04/28/2020,"U.S. Bank, National Association",CO-05
c $1-2 million,JALEO VEGAS LLC,717 D Street NW,WASHINGTON,DC,20004,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,100,04/07/2020,BBVA USA,DC-00
c $1-2 million,PERFUMES 4 U LAS VEGAS INC,"6157 NW 167TH ST SUITE F13,",MIAMI LAKES,FL,33015,446120,Corporation,White,Male Owned,Non-Veteran,,247,04/16/2020,Regions Bank,FL-25
"d $350,000-1 million",BENIHANA LAS VEGAS CORP,21500 BISCAYNE BLVD STE,AVENTURA,FL,33180,722511,Corporation,Unanswered,Unanswered,Unanswered,,87,04/28/2020,"Webster Bank, National Association",FL-23
"e $150,000-350,000",LAS VEGAS RESTAURANT II CORP,6015 GARFIELD ST,HOLLYWOOD,FL,33024,722511,Corporation,Hispanic,Unanswered,Unanswered,,32,04/11/2020,U.S. Century Bank,FL-23
"e $150,000-350,000","LAS VEGAS VIII, CORP",6015 GARFIELD ST,HOLLYWOOD,FL,33024,722511,Corporation,Hispanic,Unanswered,Unanswered,,26,04/11/2020,U.S. Century Bank,FL-23
"e $150,000-350,000","VICTORY MARTIAL ARTS OF VEGAS, INC.",4418 Edgewater Drive,Orlando,FL,32804,611620,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,47,05/08/2020,Winter Park National Bank,FL-10
"d $350,000-1 million",VEGAS TAPAS LLC,5419 N SHERIDAN SUITE 108,CHICAGO,IL,60640,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,128,06/16/2020,"Wintrust Bank, National Association",IL-09
"d $350,000-1 million","VPC LAS VEGAS STRIP PIZZA, LLC","60 E SUPERIOR ST, #300",CHICAGO,IL,60611,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,97,04/15/2020,CIBC Bank USA,IL-07
"e $150,000-350,000",CHUCK VEGAS LLC,331 Broad Street,LAKE CHARLES,LA,70601,,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,50,05/01/2020,"JPMorgan Chase Bank, National Association",LA-03
a $5-10 million,VEGAS KEWADIN,2186 Shunk Road,SAULT SAINTE MARIE,MI,49783,721120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,500,05/07/2020,Peoples State Bank of Munising,MI-01
"d $350,000-1 million","ANYTIME LABOR-LAS VEGAS, INC",971 PREMIER DR,KEARNEY,MO,64060,561320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,40,04/28/2020,Central Bank of the Midwest,MO-06
"e $150,000-350,000","GRG LAS VEGAS, LLC",284 Flathead Avenue Suite 200,WHITEFISH,MT,59937,722511,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,18,04/06/2020,City National Bank,MT-00
"d $350,000-1 million",BV LAS VEGAS LLC,631 Grove Street,JERSEY CITY,NJ,07310,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,105,04/29/2020,"Bank of America, National Association",NJ-08
b $2-5 million,EL CENTRO FAMILY HEALTH,538 North PASEO DE ONATE,ESPANOLA,NM,87532,621498,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,206,04/05/2020,Community 1st Bank Las Vegas,NM-03
c $1-2 million,ARMAND HAMMER UNITED WORLD COLLEGE OF THE AMERICAN WEST,State Road 65,MONTEZUMA,NM,87731,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,117,04/06/2020,Community 1st Bank Las Vegas,NM-03
c $1-2 million,"DESERT FOX, LLC",1499 PO BOX,PERALTA,NM,87042,238990,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,55,04/28/2020,Community 1st Bank Las Vegas,NM-02
"d $350,000-1 million","H.S.S., INC.",96 B OLD LAS VEGAS HWY,SANTA FE,NM,87505,722511,Corporation,Unanswered,Unanswered,Unanswered,,63,04/08/2020,Enterprise Bank & Trust,NM-03
"d $350,000-1 million","HAYS PLUMBING AND HEATING, INC.",600 RAILROAD AVE,LAS VEGAS,NM,87701,238220,Corporation,White,Male Owned,Non-Veteran,,36,04/05/2020,Community 1st Bank Las Vegas,NM-03
"d $350,000-1 million","MORA SAN MIGUEL ELECTRIC COOPERATIVE, INC.",240 PO BOX,MORA,NM,87732,221122,Corporation,Unanswered,Unanswered,Unanswered,,27,04/30/2020,Community 1st Bank Las Vegas,NM-03
"d $350,000-1 million",QUALITY CARE LLC,530 sun drive,LAS VEGAS,NM,87701,621610,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,287,04/06/2020,Community 1st Bank Las Vegas,NM-03
"d $350,000-1 million",THE HIGH FRONTIER,1101 DOUGLAS AVE,LAS VEGAS,NM,87701,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,36,04/07/2020,City Bank,NM-03
"d $350,000-1 million","VICTORY PERSONAL CARE, INC.",2810 Hot Springs Blvd,LAS VEGAS,NM,87701,621610,Corporation,Hispanic,Female Owned,Non-Veteran,,0,04/29/2020,Century Bank,NM-03
"d $350,000-1 million","WE CARE TRANSPORTATION, LLC",1113 ROMERO STREET,LAS VEGAS,NM,87701,485991,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/29/2020,"Wells Fargo Bank, National Association",NM-03
"d $350,000-1 million","WINTER FINISHES, LLC",1025 DOUGLAS AVE,LAS VEGAS,NM,87701,236220,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,53,04/08/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000","ARIA, INC.",1360 VEGAS VERDES STE B,SANTA FE,NM,87507,238220,Corporation,Unanswered,Male Owned,Non-Veteran,,16,05/01/2020,"Bank of America, National Association",NM-03
"e $150,000-350,000","BILLINGSLEY ENGINEERING, P.C.",901 6TH ST,LAS VEGAS,NM,87701,541330,Corporation,White,Male Owned,Non-Veteran,,14,04/10/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000",CA2 TESTING,636 PO Box,BERNALILLO,NM,87004,238990,Corporation,White,Female Owned,Non-Veteran,,25,04/29/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000","CASTANEDA HTC, LLC",230 Plaza Street,Las vegas,NM,87701,721110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,30,04/05/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000",CHARLIE'S BAKERY & CAFE INC.,715 DOUGLAS AVE,LAS VEGAS,NM,87701,722511,Corporation,Hispanic,Male Owned,Non-Veteran,,60,04/07/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000","COLLINS DENTAL, INC.",1900 7th Street,LAS VEGAS,NM,87701,621210,Corporation,Hispanic,Female Owned,Non-Veteran,,23,04/07/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000",CRAFT LLC,624 Old Las Vegas Highway,Santa Fe,NM,87505,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,04/30/2020,Cross River Bank,NM-03
"e $150,000-350,000","FAMILY OPTIONS, LLC",188 FRONTAGE ROAD 2142,LAS VEGAS,NM,87701,621610,Limited  Liability Company(LLC),Hispanic,Female Owned,Non-Veteran,,60,04/13/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000",FRANKEN CONSTRUCTION COMPANY,1025 DOUGLAS AVE,LAS VEGAS,NM,87701,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,04/13/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000",FRANKEN OIL & DISTRIBUTING COMPANY,1025 Douglas,LAS VEGAS,NM,87701,447110,Corporation,White,Male Owned,Unanswered,,57,04/06/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000",GRIMM LLC,512 Columbia St.,LAS VEGAS,NM,87701,236220,Corporation,Unanswered,Unanswered,Unanswered,,93,04/28/2020,Southwest Capital Bank,NM-03
"e $150,000-350,000","NEW MEXICO LAND AND TITLE, INC.",801 7TH STREET,LAS VEGAS,NM,87701,541191,Corporation,White,Male Owned,Non-Veteran,,29,04/08/2020,Southwest Capital Bank,NM-03
"e $150,000-350,000",PENDARIES VILLAGE COMMUNITY ASSOCIATION,820 PO Box,ROCIADA,NM,87742,713910,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,50,04/28/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000","PRICE'S FURNITURE, INC.",607 Douglas Avenue,LAS VEGAS,NM,87701,442110,Subchapter S Corporation,White,Male Owned,Unanswered,,21,04/07/2020,Community 1st Bank Las Vegas,NM-03
"e $150,000-350,000","THE ELECTRIC HORSEMAN, INC",14 B Rudolph Dr,LAS VEGAS,NM,87701,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,04/30/2020,Southwest Capital Bank,NM-03
a $5-10 million,"CCLV LUXURY HOTEL HOLDING, LLC",3752 LAS VEGAS BLVD S,LAS VEGAS,NV,89158,721110,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,490,04/09/2020,East West Bank,NV-01
a $5-10 million,DIVERSIFIED PROTECTION CORPORATION,"8020 South Rainbow Boulevard, Suite 100-530",Las Vegas,NV,89139,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,04/29/2020,American Express National Bank,NV-03
a $5-10 million,GARDEN FRESH RESTAURANTS LLC DBA SWEET TOMATOES  SOUPLANTATI,2080 N Rainbow Blvd,LAS VEGAS,NV,89108,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,07/23/2020,Greater Nevada CU,NV-01
a $5-10 million,"GOLDEN GATE BELL, LLC",3225-A SOUTH RAINBOW RD SUITE 102,LAS VEGAS,NV,89146,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,04/06/2020,"Citizens Bank, National Association",NV-01
a $5-10 million,NEVADA RESTAURANT SERVICES,3645 LOSEE RAOD,NORTH LAS VEGAS,NV,89030,722410,Corporation,Unanswered,Unanswered,Unanswered,,0,05/08/2020,"Wells Fargo Bank, National Association",NV-01
a $5-10 million,NEVADA SALES LIMITED,1621 East Sunset Road,Las Vegas,NV,89119,236220,Corporation,Unanswered,Unanswered,Unanswered,,477,04/30/2020,Cache Valley Bank,NV-01
a $5-10 million,NG WASHINGTON II,2026 Montessouri St.,LAS VEGAS,NV,89147,713210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,484,04/27/2020,Lexicon Bank,NV-03
a $5-10 million,OPPORTUNITY VILLAGE ASSOCIATION FOR RETARDED CITIZENS,6050 S. Buffalo Drive,LAS VEGAS,NV,89113,813212,Non-Profit Organization,Unanswered,Male Owned,Non-Veteran,Y,500,04/14/2020,"Zions Bank, A Division of",NV-03
a $5-10 million,"PANORAMA MORTGAGE GROUP, LLC","350 S. RAMPART BLVD, STE 310",LAS VEGAS,NV,89145,522292,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,411,05/21/2020,Access Bank,NV-01
a $5-10 million,"R&R PARTNERS, INC.",900 S. PAVILION CENTER DR Suite 100,LAS VEGAS,NV,89144,541810,Corporation,White,Male Owned,Non-Veteran,,276,04/27/2020,Meadows Bank,NV-03
a $5-10 million,"ROMAN CATHOLIC BISHOP OF LAS VEGAS AND HIS SUCCESSORS, A COR",336 Cathedral Way,LAS VEGAS,NV,89109,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,500,04/14/2020,"Zions Bank, A Division of",NV-01
a $5-10 million,SILVER STATE BELL LLC,3225A S Rainbow Blvd Ste 102,Las Vegas,NV,89146,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,05/03/2020,"Bank of America, National Association",NV-01
a $5-10 million,"TERRIBLE HERBST, INC.",5195 LAS VEGAS BLVD.,SOUTH LAS VEGAS,NV,89119,447110,Corporation,Unanswered,Unanswered,Unanswered,,500,04/28/2020,Western Alliance Bank,NV-01
a $5-10 million,THE NATHAN ADELSON HOSPICE,4141 University Center Drive,LAS VEGAS,NV,89119,623110,Professional Association,Unanswered,Unanswered,Unanswered,,336,04/14/2020,Western Alliance Bank,NV-01
a $5-10 million,WBF MANAGEMENT LLC,1775 N Martin L King Blvd,LAS VEGAS,NV,89106,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,04/29/2020,"Bank of America, National Association",NV-01
a $5-10 million,XL CONCRETE MASONRY LLC,4460 RIVIERA RIDGE AVE,LAS VEGAS,NV,89115,238140,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,426,04/13/2020,Bank of the West,NV-01
b $2-5 million,"3G PRODUCTIONS, INC.",2895 W CAPOVILLA AVE #140,LAS VEGAS,NV,89119,532490,Corporation,Unanswered,Unanswered,Unanswered,,366,04/14/2020,"OneWest Bank, A Division of",NV-01
b $2-5 million,"AGR GROUP, LLC","6275 S. Pearl St., Ste 100",Las Vegas,NV,89120,541611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,335,05/03/2020,"Zions Bank, A Division of",NV-03
b $2-5 million,"ALL WESTERN MORTGAGE, INC.",8345 W SUNSET RD Ste 380,LAS VEGAS,NV,89113,522292,Corporation,Unanswered,Unanswered,Unanswered,,,04/14/2020,Pacific Western Bank,NV-03
b $2-5 million,"ALPHA LANDSCAPES, LLC",4270 W PATRICK LN,LAS VEGAS,NV,89118,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,275,04/06/2020,Western Alliance Bank,NV-03
b $2-5 million,AMERICAN EAGLE READY MIX LLC,120 West Delhi Avenue,NORTH LAS VEGAS,NV,89032,327320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,154,04/15/2020,"Zions Bank, A Division of",NV-04
b $2-5 million,AMERICAN FUMIGATION SERVICES LLC,3750 Las Vegas Blvd S Unit 3502,Las Vegas,NV,89158,561710,Limited  Liability Company(LLC),Asian,Unanswered,Unanswered,,182,04/15/2020,First Republic Bank,NV-01
b $2-5 million,ANDERSON DAIRY INC.,801 SEARLES AVE,LAS VEGAS,NV,89101,112120,Corporation,Unanswered,Unanswered,Unanswered,,117,04/27/2020,Valley Bank of Nevada,NV-01
b $2-5 million,"APEX LINEN SERVICE, INC",6375 South Arville Street,LAS VEGAS,NV,89118,561720,Corporation,Unanswered,Unanswered,Unanswered,,397,04/07/2020,Western Alliance Bank,NV-03
b $2-5 million,AUSTIN GENERAL CONTRACTING INC,6440 POLARIS AVE,LAS VEGAS,NV,89118,236220,Corporation,White,Male Owned,Non-Veteran,,160,04/12/2020,Pacific Premier Bank,NV-03
b $2-5 million,BIDI INC,6711 w Alexander rd suite 104,Las Vegas,NV,89108,445310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/01/2020,Greater Nevada CU,NV-01
b $2-5 million,"BLUE HERON COMPANIES, LLC",7900 WEST SUNSET RD SUITE 501,LAS VEGAS,NV,89113,236117,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,141,04/15/2020,"Zions Bank, A Division of",NV-03
b $2-5 million,"BONANZA BEVERAGE COMPANY, INC.",6333 S ENSWORTH STREET,LAS VEGAS,NV,89119,424820,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,193,04/07/2020,"Zions Bank, A Division of",NV-01
b $2-5 million,"BRADY LINEN SERVICES, LLC",1 W Mayflower Ave,North Las Vegas,NV,89030,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,125,05/27/2020,"Zions Bank, A Division of",NV-01
b $2-5 million,"BUSINESS OFFICE SUITE SERVICES, INC.",3225 McLeod Drive,LAS VEGAS,NV,89121,541110,Corporation,Unanswered,Unanswered,Unanswered,,20,04/13/2020,Western Alliance Bank,NV-01
b $2-5 million,"C MARTIN COMPANY, INC",3395 W CHEYENNE AVE STE 102,NORTH LAS VEGAS,NV,89032,561210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,143,04/28/2020,"Zions Bank, A Division of",NV-04
b $2-5 million,"CALTROL, INC",1385 PAMA LN,LAS VEGAS,NV,89119,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,226,04/27/2020,Meadows Bank,NV-01
b $2-5 million,"CHECK CITY PARTNERSHIP, LLC",2640 Crimson Canyon Drive,LAS VEGAS,NV,89128,522298,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,290,04/11/2020,"Zions Bank, A Division of",NV-01
b $2-5 million,CHICAGO PAINTING INC,4343 POLARIS AVE,LAS VEGAS,NV,89103,238320,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,442,05/03/2020,"Bank of America, National Association",NV-01
b $2-5 million,"CJF AUTOMOTIVE, LLC",6800 S. Torrey Pines,NORTH LAS VEGAS,NV,89031,441110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,212,04/09/2020,Toyota Financial Savings Bank,NV-04
b $2-5 million,CLASSIC FLOORS & INTERIORS LLC,6630 ARROYO SPRINGS ST Ste 1000,LAS VEGAS,NV,89113,238330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,203,04/13/2020,"Bank of America, National Association",NV-03
b $2-5 million,"COLVIN CONSTRUCTION, INC",5865 VALLEY VIEW BLVD,LAS VEGAS,NV,89118,238110,Corporation,Unanswered,Unanswered,Unanswered,,150,04/10/2020,Western Alliance Bank,NV-03
b $2-5 million,"COMMERCIAL ROOFERS, INC.",3865 W NAPLES DR,LAS VEGAS,NV,89103,238160,Corporation,White,Male Owned,Non-Veteran,,255,04/09/2020,Western Alliance Bank,NV-01
b $2-5 million,"COOPER ROOFING & SOLAR, LLC","5795  Rogers St, Ste A",LAS VEGAS,NV,89118,238160,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,286,04/07/2020,City National Bank,NV-03
b $2-5 million,CORAL ACADEMY OF SCIENCE LAS VEGAS,8965 S. EASTERN AVE. STE. 280,LAS VEGAS,NV,89183,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,05/03/2020,"Wells Fargo Bank, National Association",NV-03
b $2-5 million,"CR LAS VEGAS, LLC",3355 LAS VEGAS BLVD 1159,LAS VEGAS,NV,89109,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,294,04/07/2020,Frost Bank,NV-01
b $2-5 million,"DBA G & G SYSTEMS, INC",4340 W. HACIENDA AVE,LAS VEGAS,NV,89118,238210,Subchapter S Corporation,White,Male Owned,Non-Veteran,,71,04/08/2020,Meadows Bank,NV-03
b $2-5 million,DESERT CAB INC,4675 WYNN RD,LAS VEGAS,NV,89103,485310,Corporation,Unanswered,Male Owned,Unanswered,,50,04/13/2020,Meadows Bank,NV-01
b $2-5 million,"DESERT ORTHOPEDIC CENTER, LTD",2800 E Desert Inn Rd Suite 100,LAS VEGAS,NV,89121,621111,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,227,04/08/2020,"Zions Bank, A Division of",NV-01
b $2-5 million,DIELCO CRANE SERVICE INC.,5454 ARVILLE ST,LAS VEGAS,NV,89118,238990,Corporation,Unanswered,Unanswered,Unanswered,,35,04/07/2020,Western Alliance Bank,NV-03
b $2-5 million,"DISCOUNT DUMPSTERS, LLC",2745 N Nellis Blvd,LAS VEGAS,NV,89115,562998,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,281,04/11/2020,KeyBank National Association,NV-01
b $2-5 million,DORAL ACADEMY OF NEVADA,6630 SURREY ST,LAS VEGAS,NV,89119,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,469,04/28/2020,"Washington Federal Bank, National Association",NV-01
b $2-5 million,FAIRWAY CHEVROLET COMPANY,3100 E Sahara Ave,Las Vegas,NV,89104,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,181,05/03/2020,"Zions Bank, A Division of",NV-01
b $2-5 million,FHR-COLORADO LLC,"1980 Festival Plaza Dr, Suite 680",Las Vegas,NV,89135,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,309,05/03/2020,"Zions Bank, A Division of",NV-03
b $2-5 million,"FINDLAY AUTOMOTIVE, INC.",5325 w SAHARA AVE,LAS VEGAS,NV,89146,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/27/2020,Ally Bank,NV-01
b $2-5 million,FLETCHER JONES WEST SAHARA LTD,7300 West Sahara Ave,LAS VEGAS,NV,89117,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,181,04/09/2020,"Zions Bank, A Division of",NV-03
b $2-5 million,FRIENDLY FORD,660 N Decatur Blvd,Las Vegas,NV,89107,441110,Corporation,Unanswered,Unanswered,Unanswered,,182,05/03/2020,"Bank of America, National Association",NV-01
b $2-5 million,FRSCO CORPORATION,6960 S CIMARRON RD Suite 200,LAS VEGAS,NV,89113,722513,Subchapter S Corporation,Black or African American,Male Owned,Veteran,,500,04/09/2020,CBW Bank,NV-03
b $2-5 million,GAMING ENTERTAINMENT (INDIANA) LLC,"1980 Festival Plaza Dr, Suite 680",Las Vegas,NV,89135,721120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,461,05/03/2020,"Zions Bank, A Division of",NV-03
